date,time,BAM,TEOM
20121217,0,24,18
20121217,100,25,13
20121217,159,19,10
20121217,300,19,15
20121217,400,21,12
20121217,459,20,11
20121217,600,16,12
20121217,700,17,14
20121217,759,21,15
20121217,900,23,17
20121217,1000,28,20
20121217,1059,32,19
20121217,1500,23,15
20121217,1600,43,25
20121217,1659,31,24
20121217,1800,27,22
20121217,1900,25,17
20121217,1959,18,13
20121217,2100,15,11
20121217,2200,15,11
20121217,2259,11,11
20121218,0,18,12
20121218,100,14,8
20121218,159,16,8
20121218,300,12,12
20121218,400,21,17
20121218,459,23,10
20121218,600,22,11
20121218,700,20,11
20121218,759,20,10
20121218,900,22,15
20121218,1000,27,12
20121218,1059,25,14
20121218,1200,30,10
20121218,1300,17,16
20121218,1359,21,14
20121218,1500,18,30
20121218,1600,24,24
20121218,1659,26,7
20121218,1800,15,12
20121218,1900,13,7
20121218,1959,10,7
20121218,2100,7,1
20121218,2200,7,8
20121218,2259,9,8
20121219,0,11,5
20121219,100,11,5
20121219,159,10,9
20121219,300,13,11
20121219,400,16,9
20121219,459,16,11
20121219,600,16,7
20121219,700,12,11
20121219,759,11,8
20121219,900,19,12
20121219,1000,15,5
20121219,1059,12,4
20121219,1200,10,10
20121219,1300,11,3
20121219,1359,12,6
20121219,1500,11,4
20121219,1600,8,7
20121219,1659,7,5
20121219,1800,9,2
20121219,1900,13,7
20121219,1959,15,5
20121219,2100,12,2
20121219,2200,11,4
20121219,2259,6,14
20121220,0,6,3
20121220,100,8,2
20121220,159,5,2
20121220,300,6,3
20121220,400,9,4
20121220,1600,8,16
20121220,1659,19,8
20121220,1800,19,12
20121220,1900,26,8
20121220,1959,23,16
20121220,2100,17,12
20121220,2200,23,17
20121220,2259,27,13
20121221,0,23,12
20121221,100,25,5
20121221,159,19,8
20121221,300,14,7
20121221,400,18,6
20121221,459,15,6
20121221,600,15,8
20121221,700,16,17
20121221,759,21,10
20121221,900,21,9
20121221,1000,17,10
20121221,1059,19,15
20121221,1200,22,18
20121221,1300,26,22
20121221,1359,39,18
20121221,1500,40,15
20121221,1600,34,25
20121221,1659,46,14
20121221,1800,26,11
20121221,1900,29,14
20121221,1959,17,14
20121221,2100,13,18
